79;11;44;75
69;71;86;87
53;46;28;25
5;43;35;86
61;44;24;19
1;51;85;32
18;44;24;95
68;79;81;86
42;50;79;17
37;97;82;19
45;46;49;12
11;83;97;80
54;30;3;35
39;48;27;25
95;18;25;31
75;7;61;67
57;81;47;19
12;26;13;8
83;48;58;98
71;25;13;14
8;94;24;72
95;36;0;10
18;78;4;65
61;76;98;12
38;66;18;55
91;31;4;44
33;43;93;30
8;56;59;19
35;5;80;61
77;38;7;98
8;79;38;14
34;3;4;78
53;90;36;1
81;46;34;4
49;64;8;14
39;0;89;62
6;38;8;30
44;28;83;85
42;27;62;50
87;27;54;76
72;20;13;79
84;65;63;74
84;46;33;55
13;40;74;23
48;38;49;9
94;18;48;96
2;81;50;1
5;87;31;52
1;13;96;92
41;75;3;51
67;28;32;5
43;0;15;89
75;8;82;6
78;11;74;8
3;42;67;0
24;66;60;85
17;94;39;80
73;33;31;5
99;24;23;10
88;46;5;53
55;1;16;12
20;55;36;96
68;41;42;14
99;84;43;15
72;21;15;84
31;43;83;36
13;60;50;48
85;82;88;93
45;14;56;3
93;9;72;33
57;91;3;33
93;49;56;58
19;86;88;53
78;75;75;53
8;5;94;27
9;32;38;1
63;74;40;93
77;57;91;25
96;45;21;30
7;82;62;90
32;11;1;63
52;77;41;67
78;84;70;36
31;47;26;84
68;82;75;57
77;27;19;31
48;34;61;42
18;10;98;57
46;28;46;85
28;5;46;0
98;67;18;27
65;66;28;65
48;47;90;8
48;27;0;53
14;53;38;82
34;89;0;12
83;5;65;40
23;39;19;56
20;58;38;34
50;8;37;28
